"state","Year","mean_25","mean_975","variation_25","variation_975","CVD_DALY","paf_daly_avghi25","paf_daly_avghi975","paf_daly_var25","paf_daly_var975"
"Andhra Pradesh",2021,12.9296940605896,17.9850961284054,3.51340647332667,9.04447806195096,3173432.13528565,24611,45133,20470,-14999
"Arunachal Pradesh",2021,-2.65150713647724,9.45819123406071,2.90472120491797,11.320833400428,37202.3799352876,289,529,240,-176
"Assam",2021,5.4054693338721,15.239260407652,3.46394571930739,11.0794772658608,1543622.66449278,11971,21954,9957,-7296
"Bihar",2021,5.71844741740541,17.8451477252148,3.2298654306337,12.2256341285262,4786894.91436365,37124,68080,30878,-22625
"Chhattisgarh",2021,9.59455082215704,17.8698177622924,3.33417051080441,12.5840130773925,1997059.19291465,15488,28403,12882,-9439
"Delhi",2021,4.53186436810925,20.1596746947997,3.20035631756157,13.336422220092,772071.994373424,5988,10981,4980,-3649
"Goa",2021,12.7094032408105,17.7385226010574,2.20982087157255,9.62001077854851,93579.688315443,726,1331,604,-442
"Gujarat",2021,10.2628499626828,18.5718917328541,3.44696772415087,10.575792598797,4542629.03103438,35229,64606,29302,-21470
"Haryana",2021,4.28388973480793,19.8541638131212,3.59507833197936,13.0454787814751,1429296.66790313,11085,20328,9220,-6755
"Himachal Pradesh",2021,-8.92284879307671,9.00253574046276,3.94156233377757,13.0420870912981,376691.282435387,2921,5357,2430,-1780
"Jharkhand",2021,7.47053732115467,17.8186178919809,3.22961286845508,12.7572476207798,1105849.43955219,8576,15728,7133,-5227
"Karnataka",2021,12.1374475089422,17.2841789691256,3.63673222204881,11.9960123345221,4387170.42352701,34024,62395,28299,-20736
"Kerala",2021,13.0403871743367,18.3458493935301,2.83468606697141,9.64216354598423,2637130.56847363,20452,37506,17011,-12464
"Madhya Pradesh",2021,7.60660802878559,18.5322812925364,3.3977322110783,13.0567157908954,4531206.08688532,35141,64444,29229,-21416
"Maharashtra",2021,11.8357315120381,18.0631090205781,3.41359810560401,12.3380283136899,7348021.5021845,56986,104505,47398,-34730
"Manipur",2021,6.27502436835463,15.1121689321852,3.59880153171172,11.7726135048809,151177.952384977,1172,2150,975,-715
"Meghalaya",2021,6.90990869075738,16.8267309074531,2.88274591329953,10.8916700688927,85238.332030795,661,1212,550,-403
"Mizoram",2021,7.40435935400105,15.995488427483,3.36897485586722,13.1829802869042,19168.317823683,149,273,124,-91
"Nagaland",2021,5.98639992566033,15.9795789826105,3.47369512537215,10.740644083458,58559.1093294159,454,833,378,-277
"Odisha",2021,10.6302566672272,17.675276342566,3.32278146667918,10.2140793361563,2500865.19488792,19395,35568,16132,-11820
"Punjab",2021,2.88712125101418,18.4528621348477,3.70264716224316,12.8896467108769,2466468.69755063,19128,35079,15910,-11658
"Rajasthan",2021,6.0620794343211,19.7291533497833,4.49609694073982,13.4630789709255,2941608.35530681,22813,41836,18975,-13903
"Sikkim",2021,-7.27610491239606,5.27887358225523,2.24813475458791,9.21688750347828,21007.1791339487,163,299,136,-99
"Tamil Nadu",2021,13.2489973582243,18.2052270193704,3.34216298510857,10.2046847313966,6081222.52183551,47162,86489,39227,-28742
"Telangana",2021,12.5502255887355,18.3805914443439,3.54528711900955,10.3203110829997,2601196.78298701,20173,36995,16779,-12294
"Tripura",2021,8.6011120555295,17.9626437857842,3.13611421644146,11.9842746811439,231177.910910041,1793,3288,1491,-1093
"Uttar Pradesh",2021,2.05543165811964,15.3187479777756,4.09737141612994,12.6105052282108,10124746.1796159,78520,143997,65310,-47854
"Uttarakhand",2021,-4.77803272990831,10.3926392416708,3.78707785484674,12.0138978332433,740031.648177574,5739,10525,4774,-3498
"West Bengal",2021,7.52453127102317,17.7394413170545,3.38562803818141,11.0475486227498,6879870.65041183,53355,97847,44379,-32517
